word,start,end,confidence,speaker
 with,192.6,192.82,1.0,SPEAKER_02
 that,192.82,192.94,1.0,SPEAKER_02
" sucker,",192.94,193.32,1.0,SPEAKER_02
 though.,193.46,193.62,1.0,SPEAKER_02
" Now,",194.5,194.68,1.0,SPEAKER_02
 if,194.72,194.84,1.0,SPEAKER_02
 I,194.84,194.96,1.0,SPEAKER_02
 had,194.96,195.1,1.0,SPEAKER_02
 a,195.1,195.22,1.0,SPEAKER_02
 direct,195.22,195.44,1.0,SPEAKER_02
" turn,",195.44,195.7,1.0,SPEAKER_02
" Flynn,",196.22,196.4,1.0,SPEAKER_02
 are,196.56,196.62,1.0,SPEAKER_02
 you,196.62,196.8,1.0,SPEAKER_02
 embezzling?,196.8,197.4,1.0,SPEAKER_02
 Embezzling,200.44,200.84,1.0,SPEAKER_02
 is,200.84,201.24,1.0,SPEAKER_02
 such,201.24,201.7,1.0,SPEAKER_02
 an,201.7,201.96,1.0,SPEAKER_02
 ugly,201.96,202.14,1.0,SPEAKER_02
" word,",202.14,202.48,1.0,SPEAKER_02
 Mr.,202.64,202.84,1.0,SPEAKER_02
 Bradley.,202.98,203.18,1.0,SPEAKER_02
" Now,",204.02,204.3,1.0,SPEAKER_02
" actually,",204.34,204.7,1.0,SPEAKER_02
 I'm,204.88,205.02,1.0,SPEAKER_02
 trying,205.02,205.22,1.0,SPEAKER_02
 to,205.22,205.32,1.0,SPEAKER_02
 get,205.32,205.44,1.0,SPEAKER_02
 some,205.44,205.6,1.0,SPEAKER_02
 solid,205.6,205.94,1.0,SPEAKER_02
 evidence,205.94,206.4,1.0,SPEAKER_02
 together.,206.4,206.72,1.0,SPEAKER_02
 I,207.34,207.54,1.0,SPEAKER_02
 don't,207.54,207.68,1.0,SPEAKER_02
 get,207.68,207.88,1.0,SPEAKER_02
 it.,207.88,208.04,1.0,SPEAKER_02
 I,208.48,208.88,1.0,SPEAKER_01
 don't,208.88,208.88,1.0,SPEAKER_02
 get,208.88,208.88,1.0,SPEAKER_02
 it.,208.88,208.88,1.0,SPEAKER_02
 Okay.,209.88,210.44,1.0,SPEAKER_02
" Sherman,",211.16,211.56,1.0,SPEAKER_02
 set,211.8,211.92,1.0,SPEAKER_02
 the,211.92,212.12,1.0,SPEAKER_02
 way,212.12,212.38,1.0,SPEAKER_02
 back,212.38,212.6,1.0,SPEAKER_02
 machine,212.6,213.02,1.0,SPEAKER_02
 for,213.02,213.4,1.0,SPEAKER_02
 three,213.98,214.54,1.0,SPEAKER_02
 years,214.54,214.78,1.0,SPEAKER_02
 ago.,214.78,215.06,1.0,SPEAKER_02
 Kevin,216.0,216.34,1.0,SPEAKER_02
 Flynn.,216.34,216.76,1.0,SPEAKER_02
 One,218.14,218.7,1.0,SPEAKER_02
 of,218.7,218.92,1.0,SPEAKER_02
 Incom's,218.92,219.6,1.0,SPEAKER_02
 brightest,219.6,219.94,1.0,SPEAKER_02
 young,219.94,220.56,1.0,SPEAKER_02
 software,220.56,221.34,1.0,SPEAKER_02
 engineers.,221.34,221.8,1.0,SPEAKER_02
 He's,222.74,223.1,1.0,SPEAKER_02
 so,223.1,223.24,1.0,SPEAKER_02
" bright,",223.24,223.5,1.0,SPEAKER_02
 as,223.58,223.66,1.0,SPEAKER_02
 a,223.66,223.72,1.0,SPEAKER_02
 matter,223.72,223.86,1.0,SPEAKER_02
 of,223.86,223.96,1.0,SPEAKER_02
" fact,",223.96,224.22,1.0,SPEAKER_02
 that,224.26,224.34,1.0,SPEAKER_02
 he,224.34,224.38,1.0,SPEAKER_02
 starts,224.38,224.52,1.0,SPEAKER_02
 going,224.52,224.76,1.0,SPEAKER_02
 in,224.76,224.9,1.0,SPEAKER_02
 at,224.9,225.0,1.0,SPEAKER_02
" night,",225.0,225.24,1.0,SPEAKER_02
 sets,225.52,225.58,1.0,SPEAKER_02
 up,225.58,225.78,1.0,SPEAKER_02
 his,225.78,225.92,1.0,SPEAKER_02
 own,225.92,226.1,1.0,SPEAKER_02
 private,226.1,226.42,1.0,SPEAKER_02
 memory,226.42,226.78,1.0,SPEAKER_02
" file,",226.78,227.24,1.0,SPEAKER_02
 and,227.38,227.46,1.0,SPEAKER_02
 begins,227.46,227.82,1.0,SPEAKER_02
 writing,227.82,228.2,1.0,SPEAKER_02
 a,228.2,228.66,1.0,SPEAKER_02
 program,228.66,228.94,1.0,SPEAKER_02
 for,228.94,229.2,1.0,SPEAKER_02
 a,229.2,229.32,1.0,SPEAKER_02
 video,229.32,229.54,1.0,SPEAKER_02
 game.,229.54,229.88,1.0,SPEAKER_02
 It's,230.04,230.08,1.0,SPEAKER_02
 invented,230.08,230.46,1.0,SPEAKER_02
 called,230.46,231.04,1.0,SPEAKER_02
 Space,232.56,233.12,1.0,SPEAKER_02
 Paranoids.,233.12,233.68,1.0,SPEAKER_02
 You,233.98,234.32,1.0,SPEAKER_02
 invented,234.32,234.7,1.0,SPEAKER_02
 Space,234.7,235.14,1.0,SPEAKER_02
 Paranoids?,235.14,235.86,1.0,SPEAKER_00
" Paranoids,",236.64,237.2,1.0,SPEAKER_02
 Matrix,237.58,237.8,1.0,SPEAKER_02
" Blaster,",237.8,238.5,1.0,SPEAKER_02
 Vice,238.5,238.86,1.0,SPEAKER_02
" Squad,",238.86,239.2,1.0,SPEAKER_02
 a,239.32,239.34,1.0,SPEAKER_02
 whole,239.34,239.44,1.0,SPEAKER_02
 slew,239.44,239.78,1.0,SPEAKER_02
 of,239.78,239.92,1.0,SPEAKER_02
 them.,239.92,240.04,1.0,SPEAKER_02
 I,240.3,240.38,1.0,SPEAKER_02
 was,240.38,240.5,1.0,SPEAKER_02
 this,240.5,240.6,1.0,SPEAKER_02
 close,240.6,240.84,1.0,SPEAKER_02
 to,240.84,240.96,1.0,SPEAKER_02
 starting,240.96,241.18,1.0,SPEAKER_02
 my,241.18,241.34,1.0,SPEAKER_02
 own,241.34,241.44,1.0,SPEAKER_02
 little,241.44,241.6,1.0,SPEAKER_02
" enterprise,",241.6,242.18,1.0,SPEAKER_02
 man.,242.32,242.52,1.0,SPEAKER_02
" But,",243.72000000000003,244.08,1.0,SPEAKER_02
 you're,244.52,244.66,1.0,SPEAKER_02
 another,244.66,244.84,1.0,SPEAKER_02
 software,244.84,245.24,1.0,SPEAKER_02
 engineer.,245.24,245.68,1.0,SPEAKER_02
 Not,246.38,246.54,1.0,SPEAKER_02
 so,246.54,246.7,1.0,SPEAKER_02
" young,",246.7,246.98,1.0,SPEAKER_02
 not,247.16,247.24,1.0,SPEAKER_02
 so,247.24,247.44,1.0,SPEAKER_02
" bright,",247.44,247.74,1.0,SPEAKER_02
 but,247.94,248.0,1.0,SPEAKER_02
" very,",248.0,248.34,1.0,SPEAKER_02
 very,248.44,248.62,1.0,SPEAKER_02
 sneaky.,248.62,249.06,1.0,SPEAKER_02
 Ed,250.0,250.16,1.0,SPEAKER_02
 Dillinger.,250.16,250.58,1.0,SPEAKER_02
" So,",252.68,252.86,1.0,SPEAKER_02
 when,252.92,253.02,1.0,SPEAKER_02
 Ed,253.02,253.14,1.0,SPEAKER_02
 or,253.14,253.2,1.0,SPEAKER_02
 Boy,253.2,253.38,1.0,SPEAKER_02
" Flynn,",253.38,253.6,1.0,SPEAKER_02
 he,253.68,253.74,1.0,SPEAKER_02
 goes,253.74,253.88,1.0,SPEAKER_02
 to,253.88,254.06,1.0,SPEAKER_02
 his,254.06,254.16,1.0,SPEAKER_02
 terminal,254.16,254.46,1.0,SPEAKER_02
 to,254.46,254.66,1.0,SPEAKER_02
 try,254.66,254.76,1.0,SPEAKER_02
 to,254.76,254.84,1.0,SPEAKER_02
 read,254.84,255.02,1.0,SPEAKER_02
 out,255.02,255.16,1.0,SPEAKER_02
 this,255.16,255.3,1.0,SPEAKER_02
" file,",255.3,255.62,1.0,SPEAKER_02
 I,255.88,255.98,1.0,SPEAKER_02
 get,255.98,256.1,1.0,SPEAKER_02
 nothing,256.1,256.38,1.0,SPEAKER_02
 on,256.38,256.6,1.0,SPEAKER_02
 there.,256.6,256.76,1.0,SPEAKER_02
 It's,256.82,256.84,1.0,SPEAKER_02
 a,256.84,256.94,1.0,SPEAKER_02
 big,256.94,257.0,1.0,SPEAKER_02
 blank.,257.0,257.32,1.0,SPEAKER_02
" Alright,",259.28,259.64,1.0,SPEAKER_02
 now,259.7,259.8,1.0,SPEAKER_02
 we,259.8,259.9,1.0,SPEAKER_02
 take,259.9,260.0,1.0,SPEAKER_02
 you,260.0,260.12,1.0,SPEAKER_02
 three,260.12,260.28,1.0,SPEAKER_02
 months,260.28,260.48,1.0,SPEAKER_02
 later.,260.48,260.8,1.0,SPEAKER_02
 Dillinger,262.08,262.44,1.0,SPEAKER_02
 presents,262.44,262.8,1.0,SPEAKER_02
 Incom,262.8,263.32,1.0,SPEAKER_02
 with,263.32,263.52,1.0,SPEAKER_02
 five,263.52,263.76,1.0,SPEAKER_02
 video,263.76,264.1,1.0,SPEAKER_02
 games.,264.1,264.52,1.0,SPEAKER_02
 But,265.52,265.88,1.0,SPEAKER_02
 he's,265.88,266.18,1.0,SPEAKER_02
 invented.,266.18,266.5,1.0,SPEAKER_01
 This,266.5,267.28,1.0,SPEAKER_01
 line,267.28,267.52,1.0,SPEAKER_01
 didn't,267.52,267.76,1.0,SPEAKER_01
 even,267.76,267.9,1.0,SPEAKER_01
 change,267.9,268.2,1.0,SPEAKER_01
 the,268.2,268.4,1.0,SPEAKER_01
" names,",268.4,268.98,1.0,SPEAKER_01
 man.,269.12,269.32,1.0,SPEAKER_01
 He,269.44,269.46,1.0,SPEAKER_01
 gets,269.46,269.62,1.0,SPEAKER_01
 a,269.62,269.8,1.0,SPEAKER_01
" big,",269.8,270.0,1.0,SPEAKER_01
 fat,270.06,270.34,1.0,SPEAKER_01
 promotion.,270.34,271.0,1.0,SPEAKER_01
 And,271.56,271.64,1.0,SPEAKER_01
 thus,271.64,271.82,1.0,SPEAKER_01
 begins,271.82,272.12,1.0,SPEAKER_01
 his,272.12,272.38,1.0,SPEAKER_01
 meteoric,272.38,272.96,1.0,SPEAKER_01
 rise,272.96,273.44,1.0,SPEAKER_01
 to,273.44,273.72,1.0,SPEAKER_01
 what,273.72,273.9,1.0,SPEAKER_01
 is,273.9,274.02,1.0,SPEAKER_01
 he,274.02,274.12,1.0,SPEAKER_01
" now,",274.12,274.34,1.0,SPEAKER_01
 executive,274.4,274.82,1.0,SPEAKER_01
 VP?,274.82,275.32,1.0,SPEAKER_01
 Senior,275.96,276.4,1.0,SPEAKER_01
 exec.,276.4,276.82,1.0,SPEAKER_01
 Senior,278.14,278.7,1.0,SPEAKER_02
 exec?,278.7,279.26,1.0,SPEAKER_02
 Sigh.,280.98,281.54,1.0,SPEAKER_02
